,date,days_since_start,cases,cases_increase,7_day_cases,14_day_cases,42_day_cases,cases_pct_inc,deaths,deaths_increase,deaths_pct_inc,7_day_deaths,42_day_deaths,14_day_deaths
96,2020-04-26,97,970996,26735,30485.714285714286,29481.928571428572,23033.238095238095,2.83,54580,1253,2.35,2057.285714285714,1297.904761904762,2123.6428571428573
97,2020-04-27,98,994193,23197,29886.0,29298.214285714286,23563.95238095238,2.39,56022,1442,2.64,2000.857142857143,1331.6904761904761,2100.6428571428573
98,2020-04-28,99,1018844,24651,29762.714285714286,29152.5,24117.571428571428,2.48,58416,2394,4.27,1961.142857142857,1388.0714285714287,2078.4285714285716
99,2020-04-29,100,1045399,26555,29437.571428571428,28904.071428571428,24691.64285714286,2.61,60930,2514,4.3,1981.5714285714287,1446.857142857143,2061.4285714285716
100,2020-04-30,101,1075756,30357,28949.14285714286,28814.35714285714,25318.166666666668,2.9,63140,2210,3.63,1987.4285714285713,1498.2857142857142,2051.5
101,2020-05-01,102,1109726,33970,28553.285714285714,28990.14285714286,25993.190476190477,3.16,64902,1762,2.79,1934.5714285714287,1538.6904761904761,2013.857142857143
102,2020-05-02,103,1139200,29474,27848.428571428572,29067.0,26539.809523809523,2.66,66485,1583,2.44,1879.7142857142858,1574.404761904762,1987.5714285714287
103,2020-05-03,104,1165340,26140,27763.428571428572,29124.571428571428,26958.738095238095,2.29,67816,1331,2.0,1890.857142857143,1603.7619047619048,1974.0714285714287
104,2020-05-04,105,1187302,21962,27587.0,28736.5,27233.261904761905,1.88,68905,1089,1.61,1840.4285714285713,1626.8095238095239,1920.642857142857
105,2020-05-05,106,1211011,23709,27452.428571428572,28607.571428571428,27549.35714285714,2.0,71139,2234,3.24,1817.5714285714287,1675.095238095238,1889.357142857143
106,2020-05-06,107,1235517,24506,27159.714285714286,28298.64285714286,27784.404761904763,2.02,73847,2708,3.81,1845.2857142857142,1733.1666666666667,1913.4285714285713
107,2020-05-07,108,1263995,28478,26891.285714285714,27920.214285714286,28057.738095238095,2.3,75805,1958,2.65,1809.2857142857142,1772.6666666666667,1898.357142857143
108,2020-05-08,109,1291643,27648,25988.14285714286,27270.714285714286,28303.404761904763,2.19,77380,1575,2.08,1782.5714285714287,1800.2380952380952,1858.5714285714287
109,2020-05-09,110,1316511,24868,25330.14285714286,26589.285714285714,28393.928571428572,1.93,78834,1454,1.88,1764.142857142857,1822.2380952380952,1821.9285714285713
110,2020-05-10,111,1336828,20317,24498.285714285714,26130.85714285714,28436.714285714286,1.54,79766,932,1.18,1707.142857142857,1834.4761904761904,1799.0
111,2020-05-11,112,1354449,17621,23878.14285714286,25732.571428571428,28345.095238095237,1.32,80748,982,1.23,1691.857142857143,1842.3809523809523,1766.142857142857
112,2020-05-12,113,1376749,22300,23676.85714285714,25564.64285714286,28292.571428571428,1.65,82400,1652,2.05,1608.7142857142858,1859.4285714285713,1713.142857142857
113,2020-05-13,114,1397894,21145,23196.714285714286,25178.214285714286,28154.833333333332,1.54,84168,1768,2.15,1474.4285714285713,1877.2142857142858,1659.857142857143
114,2020-05-14,115,1424856,26962,22980.14285714286,24935.714285714286,28089.238095238095,1.93,85906,1738,2.06,1443.0,1889.642857142857,1626.142857142857
115,2020-05-15,116,1451093,26237,22778.571428571428,24383.35714285714,27944.45238095238,1.84,87499,1593,1.85,1445.5714285714287,1894.452380952381,1614.0714285714287
116,2020-05-16,117,1474752,23659,22605.85714285714,23968.0,27672.071428571428,1.63,88724,1225,1.4,1412.857142857143,1886.5714285714287,1588.5
117,2020-05-17,118,1493766,19014,22419.714285714286,23459.0,27514.880952380954,1.29,89568,844,0.95,1400.2857142857142,1874.095238095238,1553.7142857142858
118,2020-05-18,119,1515593,21827,23020.571428571428,23449.35714285714,27298.47619047619,1.46,90414,846,0.94,1380.857142857143,1857.904761904762,1536.357142857143
119,2020-05-19,120,1536570,20977,22831.571428571428,23254.214285714286,27075.619047619046,1.38,91934,1520,1.68,1362.0,1840.904761904762,1485.357142857143
120,2020-05-20,121,1559640,23070,23106.571428571428,23151.64285714286,26867.285714285714,1.5,93411,1477,1.61,1320.4285714285713,1826.4285714285713,1397.4285714285713
121,2020-05-21,122,1585373,25733,22931.0,22955.571428571428,26653.809523809523,1.65,94722,1311,1.4,1259.4285714285713,1807.1666666666667,1351.2142857142858
122,2020-05-22,123,1609172,23799,22582.714285714286,22680.64285714286,26423.47619047619,1.5,96010,1288,1.36,1215.857142857143,1783.952380952381,1330.7142857142858
123,2020-05-23,124,1631440,22268,22384.0,22494.928571428572,26198.428571428572,1.38,97060,1050,1.09,1190.857142857143,1759.3333333333333,1301.857142857143
124,2020-05-24,125,1651471,20031,22529.285714285714,22474.5,26029.095238095237,1.23,97680,620,0.64,1158.857142857143,1734.0714285714287,1279.5714285714287
